1. Alquímico — Cartagena, Colombia — Ambos
2. Café Havana — Cartagena, Colombia — Ambos
3. El Pasquín de Joaco — Cartagena, Colombia — Exterior
4. Donde Fidel Salsa Club — Cartagena, Colombia — Exterior
5. Café del Mar — Cartagena, Colombia — Exterior
6. El Barón Café & Cocktail Bar — Cartagena, Colombia — Exterior
7. La Movida — Cartagena, Colombia — Exterior
8. Época Café Bar — Cartagena, Colombia — Exterior
9. Ábaco Libros y Café — Cartagena, Colombia — Interior
10. Café del Mural — Cartagena, Colombia — Exterior
11. Libertario Coffee Roasters — Cartagena, Colombia — Ambos
12. Manna Breakfast & Lunch — Cartagena, Colombia — Exterior
13. Señor Titis Coffee & Gifts — Cartagena, Colombia — Exterior
14. Celele — Cartagena, Colombia — Interior
15. Carmen Cartagena — Cartagena, Colombia — Ambos
16. Buena Vida Marisquería — Cartagena, Colombia — Exterior
17. Interno — Cartagena, Colombia — Exterior
18. La Cevichería — Cartagena, Colombia — Exterior
19. San Pascual Baylón — Cartagena, Colombia — Ambos
20. Baroca Sabor Ancestral — Cartagena, Colombia — Exterior
21. El Burlador — Cartagena, Colombia — Ambos
22. Totopo — Cartagena, Colombia — Exterior
23. Restaurante Olano — Cartagena, Colombia — Exterior
24. Museo del Oro Zenú — Cartagena, Colombia — Exterior
25. Museo de Arte Moderno — Cartagena, Colombia — Exterior
26. San Pedro Claver — Cartagena, Colombia — Exterior
27. Museo Naval del Caribe — Cartagena, Colombia — Exterior
28. Casa Museo Rafael Núñez — Cartagena, Colombia — Exterior
29. Palacio de la Inquisición — Cartagena, Colombia — Exterior
30. Las Bóvedas — Cartagena, Colombia — Exterior
31. Playa Blanca — Cartagena, Colombia — Exterior
32. Aviario Nacional — Cartagena, Colombia — Exterior
33. Chiva Tour — Cartagena, Colombia — Exterior
34. Tour en Kayak — Cartagena, Colombia — Exterior
35. Buceo Islas del Rosario — Cartagena, Colombia — Exterior
36. Cerro de La Popa — Cartagena, Colombia — Exterior
37. Torre del Reloj — Cartagena, Colombia — Exterior
38. Plaza de la Trinidad — Cartagena, Colombia — Exterior
39. Mercado de Bazurto — Cartagena, Colombia — Ambos
40. Amaré Rooftop — Cartagena, Colombia — Exterior
41. Bazurto Social Club — Cartagena, Colombia — Exterior
42. La Jugada Club House — Cartagena, Colombia — Exterior
43. Seven 7 Times — Cartagena, Colombia — Ambos
44. Casa Cruxada — Cartagena, Colombia — Exterior
45. 1811 Rooftop — Cartagena, Colombia — Exterior
46. Barra 7 — Cartagena, Colombia — Interior
47. Xo Rooftop — Cartagena, Colombia — Exterior
48. Club Prestige — Cartagena, Colombia — Exterior
49. Pikete — Cartagena, Colombia — Exterior
50. Boheme Lounge — Cartagena, Colombia — Interior
